category,Learning Rate,Batch Size,mean Val F1 Score,mean Test F1 Score,std Test F1 Score
final_lab-manual-combine_finbert-tone.xlsx,1e-05,16.0,0.6394836180346937,0.5940942782692393,0.03080508550166743
final_lab-manual-sp-split_finbert-tone.xlsx,1e-05,8.0,0.6739836150884116,0.6186830483521133,0.01174608222590465
final_lab-manual-pc-split_finbert-tone.xlsx,0.0001,8.0,0.5981304524412455,0.5245007903262192,0.16100942044948305
final_lab-manual-mm_finbert-tone.xlsx,0.0001,16.0,0.6460241612349308,0.5838985009266383,0.033506494461852714
final_lab-manual-sp_finbert-tone.xlsx,0.0001,16.0,0.652606088770754,0.6339982993103473,0.005988724508803421
final_lab-manual-mm-split_finbert-tone.xlsx,1e-05,4.0,0.6763408217901926,0.6023968475868369,0.010927177191160835
final_lab-manual-pc_finbert-tone.xlsx,0.0001,32.0,0.5916466289163154,0.46358554055015605,0.08635896337138671
final_lab-manual-split-combine_finbert-tone.xlsx,1e-05,4.0,0.6650535429303469,0.6429717040077634,0.01481670279373394
