category,Learning Rate,Batch Size,mean Val F1 Score,mean Test F1 Score,std Test F1 Score
final_lab-manual-mm-split_film.xlsx,1e-05,8.0,0.7514439399691675,0.7016912554988286,0.01682088884528292
final_lab-manual-split-combine_film.xlsx,1e-05,8.0,0.731097440541101,0.6960246100137598,0.018020807555187694
final_lab-manual-pc-split_film.xlsx,1e-05,16.0,0.5859922705882762,0.5409418468241998,0.02200285042699914
final_lab-manual-pc_film.xlsx,1e-05,32.0,0.6589064052213588,0.5227435819626955,0.03321520683093478
final_lab-manual-mm_film.xlsx,1e-05,16.0,0.718137871077937,0.6754158198425674,0.04062451683953548
final_lab-manual-sp_film.xlsx,1e-05,4.0,0.7132126365908763,0.6977113094431423,0.02118132189945215
final_lab-manual-sp-split_film.xlsx,1e-05,4.0,0.7102773098671178,0.6866276597485493,0.019013934379874132
final_lab-manual-combine_film.xlsx,1e-05,4.0,0.7320107644772954,0.7064110653870412,0.010766493563902938
