category,Learning Rate,Batch Size,mean Val F1 Score,mean Test F1 Score,std Test F1 Score
final_lab-manual-pc-split_flangbert.xlsx,0.0001,16.0,0.6220531298723552,0.4702724020560975,0.07254359253023046
final_lab-manual-split-combine_flangbert.xlsx,1e-05,8.0,0.6862930334070038,0.6493255502675236,0.01661384809432718
final_lab-manual-pc_flangbert.xlsx,1e-05,4.0,0.5906872629826322,0.5174231396258447,0.08891326348348201
final_lab-manual-sp-split_flangbert.xlsx,0.0001,32.0,0.6832249939075519,0.6256781750867404,0.008740535179969361
final_lab-manual-mm_flangbert.xlsx,1e-05,4.0,0.6759377139898608,0.6153520749268562,0.05213823279916624
final_lab-manual-sp_flangbert.xlsx,1e-05,4.0,0.6745551399711888,0.6235126603905486,0.029729271708793383
final_lab-manual-mm-split_flangbert.xlsx,1e-05,4.0,0.689267644699313,0.6670714244159015,0.01601164883128386
final_lab-manual-combine_flangbert.xlsx,1e-05,4.0,0.6761496369600053,0.633851696483412,0.012614626922561155
