category,Learning Rate,Batch Size,mean Val F1 Score,mean Test F1 Score,std Test F1 Score
final_lab-manual-sp_bert.xlsx,1e-05,4.0,0.6561049356186247,0.6192944957710093,0.03072112613786804
final_lab-manual-pc-split_bert.xlsx,1e-05,8.0,0.5301879179856225,0.5325756171853269,0.03686235137564004
final_lab-manual-sp-split_bert.xlsx,1e-05,4.0,0.6640240005232831,0.6191649946796252,0.008425032405884112
final_lab-manual-split-combine_bert.xlsx,1e-05,8.0,0.6697247432216326,0.6381261784871071,0.01489554726438303
final_lab-manual-mm-split_bert.xlsx,1e-05,4.0,0.6646666279054734,0.634183494442997,0.027051434711850314
final_lab-manual-pc_bert.xlsx,0.0001,16.0,0.6060606060606061,0.45334817668929767,0.09603589369935522
final_lab-manual-mm_bert.xlsx,1e-05,16.0,0.6188726614766564,0.5782475361678922,0.051822277084110586
final_lab-manual-combine_bert.xlsx,1e-05,16.0,0.6575129317885413,0.6260171625295032,0.011543865595254586
